pid,user,database,event_type,session_duration_sec,query_command,query_text,timestamp
8262,postgres,auditdb,LOG,0.0,,,2025-10-04 21:33:45.440+07
8262,postgres,auditdb,LOG,0.0,,,2025-10-04 21:33:45.441+07
8261,postgres,auditdb,LOG,0.0,,,2025-10-04 21:33:45.442+07
8262,postgres,auditdb,LOG,0.0,,,2025-10-04 21:33:45.442+07
8262,postgres,auditdb,LOG,0.0,,,2025-10-04 21:33:45.442+07
8262,postgres,auditdb,LOG,0.0,,,2025-10-04 21:33:45.442+07
8262,postgres,auditdb,LOG,0.0,,,2025-10-04 21:33:45.442+07
8262,postgres,auditdb,LOG,0.0,,,2025-10-04 21:33:45.442+07
8262,postgres,auditdb,LOG,0.0,,,2025-10-04 21:33:45.442+07
8262,postgres,auditdb,LOG,0.0,,,2025-10-04 21:33:45.442+07
8262,postgres,auditdb,LOG,0.0,,,2025-10-04 21:33:45.442+07
8262,postgres,auditdb,LOG,0.0,,,2025-10-04 21:33:45.442+07
8261,postgres,auditdb,LOG,0.0,,,2025-10-04 21:33:45.444+07
8261,postgres,auditdb,LOG,0.0,,,2025-10-04 21:33:45.444+07
8261,postgres,auditdb,LOG,0.0,,,2025-10-04 21:33:45.444+07
8261,postgres,auditdb,LOG,0.0,,,2025-10-04 21:33:45.444+07
8261,postgres,auditdb,LOG,0.0,,,2025-10-04 21:33:45.444+07
8261,postgres,auditdb,LOG,0.0,,,2025-10-04 21:33:45.444+07
8261,postgres,auditdb,LOG,0.0,,,2025-10-04 21:33:45.444+07
8261,postgres,auditdb,LOG,0.0,,,2025-10-04 21:33:45.444+07
8261,postgres,auditdb,LOG,0.0,,,2025-10-04 21:33:45.444+07
8261,postgres,auditdb,DISCONNECT,0.088,,,2025-10-04 21:33:45.478+07
8262,postgres,auditdb,LOG,0.0,,,2025-10-04 21:33:45.525+07
8262,postgres,auditdb,LOG,0.0,,,2025-10-04 21:33:57.744+07
8262,postgres,auditdb,LOG,0.0,,,2025-10-04 21:33:57.744+07
8262,postgres,auditdb,DISCONNECT,12.346,,,2025-10-04 21:33:57.745+07
8256,postgres,postgres,LOG,0.0,,,2025-10-04 21:33:57.750+07
8256,postgres,postgres,LOG,0.0,,,2025-10-04 21:33:57.750+07
8256,postgres,postgres,DISCONNECT,15.782,,,2025-10-04 21:33:57.750+07
7927,[unknown],[unknown],LOG,0.0,,,2025-10-04 21:34:07.048+07
7927,[unknown],[unknown],LOG,0.0,,,2025-10-04 21:34:07.064+07
7927,[unknown],[unknown],LOG,0.0,,,2025-10-04 21:34:07.317+07
7932,[unknown],[unknown],LOG,0.0,,,2025-10-04 21:34:07.459+07
7932,[unknown],[unknown],LOG,0.0,,,2025-10-04 21:34:07.476+07
7932,[unknown],[unknown],LOG,0.0,,,2025-10-04 21:34:07.737+07
7927,[unknown],[unknown],LOG,0.0,,,2025-10-04 21:34:08.412+07
815,[unknown],[unknown],LOG,0.0,,,2025-10-05 09:05:51.039+07
815,[unknown],[unknown],LOG,0.0,,,2025-10-05 09:05:51.039+07
815,[unknown],[unknown],LOG,0.0,,,2025-10-05 09:05:51.039+07
815,[unknown],[unknown],LOG,0.0,,,2025-10-05 09:05:51.173+07
1027,[unknown],[unknown],LOG,0.0,,,2025-10-05 09:05:51.752+07
815,[unknown],[unknown],LOG,0.0,,,2025-10-05 09:05:52.126+07
1100,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-05 09:05:52.863+07
1124,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-05 09:05:53.715+07
1124,postgres,template1,LOG,0.0,,,2025-10-05 09:05:53.783+07
1124,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-05 09:05:53.783+07
1124,postgres,template1,DISCONNECT,0.612,,,2025-10-05 09:05:54.333+07
1161,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-05 09:05:55.072+07
1161,postgres,template1,LOG,0.0,,,2025-10-05 09:05:55.131+07
1161,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-05 09:05:55.132+07
1161,postgres,template1,DISCONNECT,0.131,,,2025-10-05 09:05:55.195+07
1178,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-05 09:05:55.915+07
1178,postgres,template1,LOG,0.0,,,2025-10-05 09:05:55.917+07
1178,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-05 09:05:55.917+07
1178,postgres,template1,DISCONNECT,0.097,,,2025-10-05 09:05:56.001+07
1025,[unknown],[unknown],LOG,0.0,,,2025-10-05 09:10:55.416+07
1025,[unknown],[unknown],LOG,0.0,,,2025-10-05 09:10:55.614+07
5507,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-05 09:15:05.047+07
5513,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-05 09:15:16.476+07
